field_id,form_id,form_number,field_category,field_name,normalized_name,data_type,field_type,required,validation_rules,language,context,document_source
EQUIP_9417f1_heat_pump_water_heat,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,5. Heat Pump Water Heater,heat_pump_water_heater,text,Text Input,False,,en,"5. Heat Pump Water Heater: Suggest if the home has an older water heater, especially if",011_HES_FM0300CPF.pdf
EQUIP_c436a9_aislamiento_del_átic,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,6. Aislamiento del ático,aislamiento_del_ático,text,Text Input,False,,es,6. Aislamiento del ático: sugerir si la casa tiene menos de R -18 (usualmente 6 pulgadas,012_HES_FM0300CPF_es.pdf
EQUIP_09b5cb_attic_insulation,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,6. Attic Insulation,attic_insulation,text,Text Input,False,,en,6. Attic Insulation: Suggest if the home has less than R -18 (typically 6 inches of,011_HES_FM0300CPF.pdf
EQUIP_d1fae8_aislamiento_del_piso,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,7. Aislamiento del piso,aislamiento_del_piso,text,Text Input,False,,es,7. Aislamiento del piso: sugerir si la casa tiene menos de R -11 (usualmente de 3 a 4,012_HES_FM0300CPF_es.pdf
EQUIP_9861e5_floor_insulation,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,7. Floor Insulation,floor_insulation,text,Text Input,False,,en,7. Floor Insulation: Suggest if the home has less than R-11 (typically 3-4 inches of,011_HES_FM0300CPF.pdf
EQUIP_c6eaea_other_health_and_saf,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,7. Other Health and Safety Concerns,other_health_and_safety_concerns,percentage,Text Input,False,,en,7. Other Health and Safety Concerns: Please check any/all of the following:,011_HES_FM0300CPF.pdf
EQUIP_e84e1c_roof_optional,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,8. Roof (optional),roof_optional,text,Text Input,False,,en,8. Roof (optional) : Please Check any/all of the following,011_HES_FM0300CPF.pdf
EQUIP_07fa54_techo,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,8. Techo,techo,text,Text Input,False,,es,"8. Techo: por favor, marque una o todas las opciones siguientes",012_HES_FM0300CPF_es.pdf
EQUIP_3f6bc7_ventanas,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,8. Ventanas,ventanas,text,Text Input,False,,es,8. Ventanas: sugerir que se reemplacen las ventanas de un solo panel que estén,012_HES_FM0300CPF_es.pdf
EQUIP_400ecb_windows,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,8. Windows,windows,text,Text Input,False,,en,8. Windows: Suggest any broken/non-functioning single-pane windows to be replaced,011_HES_FM0300CPF.pdf
EQUIP_b6347b_referral_to_communit,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,9. Referral to Community Action Agency (CAA),referral_to_community_action_agency_caa,percentage,Text Input,False,,en,9. Referral to Community Action Agency (CAA): Income -qualified residents may be,011_HES_FM0300CPF.pdf
MISC_9591a2_90,CPF-300-HOME-ASSESSMENT,300CPF,other,90%,90,percentage,Text Input,False,,es,"90%: sugerir si la casa tiene una calefacción de gas existente y más antigua,",012_HES_FM0300CPF_es.pdf
MISC_8d9090_access_and_evaluatio,CPF-300-HOME-ASSESSMENT,300CPF,other,ACCESS AND EVALUATION,access_and_evaluation,text,Text Input,False,,en,ACCESS AND EVALUATION: Energy Trust and/or its representatives,011_HES_FM0300CPF.pdf
TERMS_ee522b_authorization,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,AUTHORIZATION,authorization,text,Text Input,False,,en,"AUTHORIZATION: This authorization form must be filled out completely,",011_HES_FM0300CPF.pdf
TERMS_b686b7_autorización,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,AUTORIZACIÓN,autorización,text,Text Input,False,,es,AUTORIZACIÓN: este formulario de autorización debe,012_HES_FM0300CPF_es.pdf
MISC_8db662_asbesto,CPF-300-HOME-ASSESSMENT,300CPF,other,Asbesto,asbesto,text,Text Input,False,,es,Asbesto: ¿La presencia de asbesto impide,012_HES_FM0300CPF_es.pdf
MISC_a2ab70_asbestos,CPF-300-HOME-ASSESSMENT,300CPF,other,Asbestos,asbestos,text,Text Input,False,,en,Asbestos: Does the presence of asbestos,011_HES_FM0300CPF.pdf
FIN_50fbc9_bill_discount_progra,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,Bill Discount Program,bill_discount_program,text,Text Input,False,,en,"Bill Discount Program: If site is a candidate for a no -cost measure, is the household",011_HES_FM0300CPF.pdf
MISC_f9affa_caa_por_sus_siglas_e,CPF-300-HOME-ASSESSMENT,300CPF,other,"CAA, por sus siglas en inglés)",caa_por_sus_siglas_en_inglés,text,Text Input,False,,es,"CAA, por sus siglas en inglés): los residentes que califiquen con base en sus",012_HES_FM0300CPF_es.pdf
FIN_c339e4_cantidad_de_financia,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,CANTIDAD DE FINANCIACIÓN,cantidad_de_financiación,text,Text Input,False,,es,CANTIDAD DE FINANCIACIÓN: la cantidad financiada no,012_HES_FM0300CPF_es.pdf
CUST_b5f30e_cliente,CPF-300-HOME-ASSESSMENT,300CPF,customer_information,CLIENTE,cliente,text,Text Input,False,,es,CLIENTE: la persona que firma este formulario lo hace en,012_HES_FM0300CPF_es.pdf
CUST_a38745_customer,CPF-300-HOME-ASSESSMENT,300CPF,customer_information,CUSTOMER,customer,text,Text Input,False,,en,CUSTOMER: The person signing this form is signing on behalf of the,011_HES_FM0300CPF.pdf
CUST_d2c1f3_customer_notificatio,CPF-300-HOME-ASSESSMENT,300CPF,customer_information,CUSTOMER NOTIFICATION,customer_notification,text,Text Input,False,,en,CUSTOMER NOTIFICATION: Participating Organization will inform,011_HES_FM0300CPF.pdf
MISC_210d7a_combustible_sistema_,CPF-300-HOME-ASSESSMENT,300CPF,other,Combustible Sistema de calefacción Uso actual,combustible_sistema_de_calefacción_uso_actual,text,Text Input,False,,es,Combustible Sistema de calefacción Uso actual: Condición,012_HES_FM0300CPF_es.pdf
MISC_fbdf44_consideraciones_para,CPF-300-HOME-ASSESSMENT,300CPF,other,Consideraciones para la mejora energética,consideraciones_para_la_mejora_energética,text,Text Input,False,,es,Consideraciones para la mejora energética: ¿El hogar es,012_HES_FM0300CPF_es.pdf
AUTH_CUST_a0f68a_customer_signature,CPF-300-HOME-ASSESSMENT,300CPF,customer_authorization,Customer Name and Signature,customer_signature,signature,Signature,False,signature_required,en,"Signature Section A: Customer must sign below prior to the HEA being conducted, and sign on page 6 after completion of the HEA. Customer Name and Signature By signing below, Customer agrees to",011_HES_FM0300CPF.pdf
CUST_170c3b_customer_type,CPF-300-HOME-ASSESSMENT,300CPF,customer_information,Customer Type,customer_type,text,Text Input,False,,en,Customer Type: Homeowner Renter Rental Property Owner/Manager,011_HES_FM0300CPF.pdf
AUTH_CUST_a0f68a_customer_signature,CPF-300-HOME-ASSESSMENT,300CPF,customer_authorization,Customer signature Date,customer_signature,signature,Signature,False,signature_required,en,Assessor that performed the HEA explained the results or provided a copy of the results. Customer signature Date,011_HES_FM0300CPF.pdf
AUTH_CUST_a0f68a_customer_signature,CPF-300-HOME-ASSESSMENT,300CPF,customer_authorization,Customer signature Full name (please print and use same name as on invoice) Date,customer_signature,signature,Signature,False,signature_required,en,Customer’s behalf. Customer signature Full name (please print and use same name as on invoice) Date Site Address Cit,011_HES_FM0300CPF.pdf
TERMS_235beb_derechos_de_propieda,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,DERECHOS DE PROPIEDAD,derechos_de_propiedad,text,Text Input,False,,es,DERECHOS DE PROPIEDAD: el cliente declara que tiene,012_HES_FM0300CPF_es.pdf
TERMS_a267d0_disclaimer_no_liabil,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,DISCLAIMER / NO LIABILITY,disclaimer_no_liability,text,Text Input,False,,en,"DISCLAIMER / NO LIABILITY: Customer understands that, although",011_HES_FM0300CPF.pdf
TERMS_7af98d_elegibilidad,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,ELEGIBILIDAD,elegibilidad,text,Text Input,False,,es,ELEGIBILIDAD: se dispone de financiación para casas,012_HES_FM0300CPF_es.pdf
TERMS_bcaf16_eligibility,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,ELIGIBILITY,eligibility,text,Text Input,False,,en,"ELIGIBILITY: Funding is available to detached single- family homes,",011_HES_FM0300CPF.pdf
MISC_765f80_energy_upgrade_consi,CPF-300-HOME-ASSESSMENT,300CPF,other,Energy Upgrade Considerations,energy_upgrade_considerations,text,Text Input,False,,en,Energy Upgrade Considerations: Is the home,011_HES_FM0300CPF.pdf
FIN_8c7bbd_funding_amount,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,FUNDING AMOUNT,funding_amount,text,Text Input,False,,en,FUNDING AMOUNT: Funding amount cannot exceed total cost of the,011_HES_FM0300CPF.pdf
MISC_c7434f_fuel_heating_system_,CPF-300-HOME-ASSESSMENT,300CPF,other,Fuel Heating System Current Use,fuel_heating_system_current_use,text,Text Input,False,,en,Fuel Heating System Current Use: Condition,011_HES_FM0300CPF.pdf
MISC_56d9c5_hea_completing_organ,CPF-300-HOME-ASSESSMENT,300CPF,other,HEA completing organization,hea_completing_organization,text,Text Input,False,,en,HEA completing organization: Site referred to:,011_HES_FM0300CPF.pdf
MISC_994d18_home_assessor_name,CPF-300-HOME-ASSESSMENT,300CPF,other,Home Assessor Name,home_assessor_name,text,Text Input,False,,en,Home Assessor Name : Date :,011_HES_FM0300CPF.pdf
MISC_7205e1_home_assessor_name_a,CPF-300-HOME-ASSESSMENT,300CPF,other,Home Assessor Name and Signature,home_assessor_name_and_signature,signature,Signature,False,signature_required,en,"Signature Section C: If a third -party Home Assessor is requesting funding for this home energy assessment (HEA), please sign below . Home Assessor Name and Signature By signing below, Home Asses",011_HES_FM0300CPF.pdf
MISC_150c10_full_name,CPF-300-HOME-ASSESSMENT,300CPF,other,Home Assessor signature Full name (please print) Date,full_name,signature,Signature,False,signature_required,en,Energy Trust will issue payment to the entity listed below at the address listed below. Home Assessor signature Full name (please print) Date Company OCC,011_HES_FM0300CPF.pdf
MISC_a1b866_information_release,CPF-300-HOME-ASSESSMENT,300CPF,other,INFORMATION RELEASE,information_release,text,Text Input,False,,en,INFORMATION RELEASE: Customer agrees that Energy Trust may,011_HES_FM0300CPF.pdf
MISC_5fb402_lead,CPF-300-HOME-ASSESSMENT,300CPF,other,Lead,lead,text,Text Input,False,,en,Lead: Does presence of lead prevent any measure installation?,011_HES_FM0300CPF.pdf
MISC_f6dc2b_no_endorsement,CPF-300-HOME-ASSESSMENT,300CPF,other,NO ENDORSEMENT,no_endorsement,text,Text Input,False,,en,NO ENDORSEMENT: Energy Trust does not endorse any particular,011_HES_FM0300CPF.pdf
CUST_0019ef_notificación_al_clie,CPF-300-HOME-ASSESSMENT,300CPF,customer_information,NOTIFICACIÓN AL CLIENTE,notificación_al_cliente,text,Text Input,False,,es,NOTIFICACIÓN AL CLIENTE: la organización participante,012_HES_FM0300CPF_es.pdf
AUTH_CNTR_a54f56_contractor_signature,CPF-300-HOME-ASSESSMENT,300CPF,contractor_authorization,"No, Contractor signature is not needed",contractor_signature,signature,Signature,False,signature_required,en,"2. Will a Contractor be requesting funding for any home energy upgrades? Yes, Contractor to c omplete Signature Section B upon completion of upgrade(s) No, Contractor signature is not needed",011_HES_FM0300CPF.pdf
MISC_edf427_nombre_del_evaluador,CPF-300-HOME-ASSESSMENT,300CPF,other,Nombre del evaluador de hogares,nombre_del_evaluador_de_hogares,text,Text Input,False,,es,Nombre del evaluador de hogares: Fecha:,012_HES_FM0300CPF_es.pdf
MISC_8bfe73_organización_partici,CPF-300-HOME-ASSESSMENT,300CPF,other,Organización participante,organización_participante,text,Text Input,False,,es,Organización participante: Financiación de socios comunitarios,012_HES_FM0300CPF_es.pdf
FIN_ce14bf_pago,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,PAGO,pago,text,Text Input,False,,es,"PAGO: sujeto a la disponibilidad de fondos, la financiación",012_HES_FM0300CPF_es.pdf
FIN_64b96f_payment,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,PAYMENT,payment,text,Text Input,False,,en,"PAYMENT : Subject to funding availability, funding for eligible HEAs will",011_HES_FM0300CPF.pdf
TERMS_469f41_property_rights,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,PROPERTY RIGHTS,property_rights,text,Text Input,False,,en,PROPERTY RIGHTS: Customer represents that Customer has the right,011_HES_FM0300CPF.pdf
MISC_243497_participating_organi,CPF-300-HOME-ASSESSMENT,300CPF,other,Participating Organization,participating_organization,text,Text Input,False,,en,Participating Organization: Community Partner Funding,011_HES_FM0300CPF.pdf
MISC_b58876_participating_organi,CPF-300-HOME-ASSESSMENT,300CPF,other,Participating Organization Name and Signature,participating_organization_name_and_signature,signature,Signature,False,signature_required,en,"Signature Section B: Participating Organization must sign this form after completion of the HEA . Participating Organization Name and Signature By signing below, Participating Organization (i) un",011_HES_FM0300CPF.pdf
CNTR_57039e_participating_organi,CPF-300-HOME-ASSESSMENT,300CPF,contractor_information,Participating Organization or Contractor after,participating_organization_or_contractor_after,text,Text Input,False,,en,Participating Organization or Contractor after: (i) completion and or,011_HES_FM0300CPF.pdf
MISC_150c10_full_name,CPF-300-HOME-ASSESSMENT,300CPF,other,Participating Organization signature Full name (please print) Date,full_name,signature,Signature,False,signature_required,en,processing or paying any funding. Participating Organization signature Full name (please print) Date Participating Organization Home Energy Assessment Da,011_HES_FM0300CPF.pdf
MISC_648b84_plomo,CPF-300-HOME-ASSESSMENT,300CPF,other,Plomo,plomo,text,Text Input,False,,es,Plomo: ¿La presencia de plomo impide la instalación de alguna,012_HES_FM0300CPF_es.pdf
FIN_f2e1da_programa_de_descuent,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,Programa de Descuento en Facturas,programa_de_descuento_en_facturas,text,Text Input,False,,es,Programa de Descuento en Facturas: Si el sitio es candidato para una medida,012_HES_FM0300CPF_es.pdf
MISC_b32208_sección_a_de_la_firm,CPF-300-HOME-ASSESSMENT,300CPF,other,Sección A de la firma,sección_a_de_la_firma,text,Text Input,False,,es,Sección A de la firma: el cliente debe firmar a continuación antes de que se realice la HEA y,012_HES_FM0300CPF_es.pdf
MISC_7bc8b5_sección_b_de_la_firm,CPF-300-HOME-ASSESSMENT,300CPF,other,Sección B de la firma,sección_b_de_la_firma,text,Text Input,False,,es,Sección B de la firma: la organización participante debe firmar este formulario después de,012_HES_FM0300CPF_es.pdf
MISC_8c59f5_sección_c_de_la_firm,CPF-300-HOME-ASSESSMENT,300CPF,other,Sección C de la firma,sección_c_de_la_firma,text,Text Input,False,,es,Sección C de la firma: si un evaluador de hogares externo está solicitando una financiación,012_HES_FM0300CPF_es.pdf
MISC_ad8221_sección_d_de_la_firm,CPF-300-HOME-ASSESSMENT,300CPF,other,Sección D de la firma,sección_d_de_la_firma,text,Text Input,False,,es,Sección D de la firma: el cliente debe firmar a continuación después de completar la HEA.,012_HES_FM0300CPF_es.pdf
MISC_f157b9_signature_section_b,CPF-300-HOME-ASSESSMENT,300CPF,other,Signature Section B,signature_section_b,text,Text Input,False,,en,Signature Section B: Participating Organization must sign this form after completion of the HEA .,011_HES_FM0300CPF.pdf
MISC_7101e0_signature_section_b_,CPF-300-HOME-ASSESSMENT,300CPF,other,Signature Section B: Participating Organization must sign this form after completion of the HEA .,signature_section_b_participating_organization_mus,signature,Signature,False,signature_required,en,"Signature Section B: Participating Organization must sign this form after completion of the HEA . Participating Organization Name and Signature By signing below, Participating Organization (i)",011_HES_FM0300CPF.pdf
MISC_43abbb_signature_section_c,CPF-300-HOME-ASSESSMENT,300CPF,other,Signature Section C,signature_section_c,text,Text Input,False,,en,Signature Section C: If a third -party Home Assessor is requesting funding for this home energy,011_HES_FM0300CPF.pdf
FIN_19797d_signature_section_c_,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,Signature Section C: If a third -party Home Assessor is requesting funding for this home energy,signature_section_c_if_a_third_party_home_assessor,signature,Signature,False,signature_required,en,"Participating Organization Home Energy Assessment Date Signature Section C: If a third -party Home Assessor is requesting funding for this home energy assessment (HEA), please sign below . Home",011_HES_FM0300CPF.pdf
MISC_d9938f_signature_section_d,CPF-300-HOME-ASSESSMENT,300CPF,other,Signature Section D,signature_section_d,text,Text Input,False,,en,Signature Section D: Customer must sign below after completion of the HEA.,011_HES_FM0300CPF.pdf
CUST_d8290c_signature_section_d_,CPF-300-HOME-ASSESSMENT,300CPF,customer_information,Signature Section D: Customer must sign below after completion of the HEA.,signature_section_d_customer_must_sign_below_after,signature,Signature,False,signature_required,en,"Signature Section D: Customer must sign below after completion of the HEA. Customer Name and Signature By signing below, Customer acknowledges that the HEA was completed at the sit",011_HES_FM0300CPF.pdf
MISC_31b1a5_sí_no_plagas,CPF-300-HOME-ASSESSMENT,300CPF,other,Sí No Plagas,sí_no_plagas,text,Text Input,False,,es,Sí No Plagas: ¿Los plagas o los daños causados por plagas impiden la,012_HES_FM0300CPF_es.pdf
TERMS_df5d80_tax_liability,CPF-300-HOME-ASSESSMENT,300CPF,terms_and_conditions,TAX LIABILITY,tax_liability,text,Text Input,False,,en,TAX LIABILITY: Energy Trust is not responsible for any tax liability,011_HES_FM0300CPF.pdf
MISC_4c8afa_verificación_de_cali,CPF-300-HOME-ASSESSMENT,300CPF,other,VERIFICACIÓN DE CALIDAD DEL TRABAJO,verificación_de_calidad_del_trabajo,text,Text Input,False,,es,VERIFICACIÓN DE CALIDAD DEL TRABAJO: antes de,012_HES_FM0300CPF_es.pdf
MISC_9f6070_yes_no_pests,CPF-300-HOME-ASSESSMENT,300CPF,other,Yes No Pests,yes_no_pests,text,Text Input,False,,en,Yes No Pests: Do pests or pest damage prevent any measure installation?,011_HES_FM0300CPF.pdf
CNTR_7db616_yes_contractor_to_c_,CPF-300-HOME-ASSESSMENT,300CPF,contractor_information,"Yes, Contractor to c omplete Signature Section B upon completion of upgrade(s)",yes_contractor_to_c_omplete_signature_section_b_up,signature,Signature,False,signature_required,en,"Insulation/Windows Water Heating 2. Will a Contractor be requesting funding for any home energy upgrades? Yes, Contractor to c omplete Signature Section B upon completion of upgrade(s) No",011_HES_FM0300CPF.pdf
MISC_7c8261_a_central_ac,CPF-300-HOME-ASSESSMENT,300CPF,other,a. Central AC,a_central_ac,text,Text Input,False,,en,a. Central AC: Yes No Amount of Room AC Units (Window and/or Portable):,011_HES_FM0300CPF.pdf
UTIL_fe29cf_a_electric_provider,CPF-300-HOME-ASSESSMENT,300CPF,utility_information,a. Electric Provider,a_electric_provider,text,Text Input,False,,en,a. Electric Provider: Pacific Power PGE Other :,011_HES_FM0300CPF.pdf
MISC_804c08_a_fuel_type,CPF-300-HOME-ASSESSMENT,300CPF,other,a. Fuel Type,a_fuel_type,text,Text Input,False,,en,"a. Fuel Type: Electric Gas Location of water heater (garage, utility room, basement, etc):",011_HES_FM0300CPF.pdf
UTIL_381426_a_proveedor_de_elect,CPF-300-HOME-ASSESSMENT,300CPF,utility_information,a. Proveedor de electricidad,a_proveedor_de_electricidad,text,Text Input,False,,es,a. Proveedor de electricidad: Pacific Power PGE ________________________________ Otro:,012_HES_FM0300CPF_es.pdf
UTIL_073111_b_gas_provider,CPF-300-HOME-ASSESSMENT,300CPF,utility_information,b. Gas Provider,b_gas_provider,text,Text Input,False,,en,b. Gas Provider: NW Natural Avista Cascade Natural Gas Other :,011_HES_FM0300CPF.pdf
UTIL_af307f_b_proveedor_de_gas,CPF-300-HOME-ASSESSMENT,300CPF,utility_information,b. Proveedor de gas,b_proveedor_de_gas,text,Text Input,False,,es,b. Proveedor de gas: NW Natural Avista Cascade Natural Gas Otro:,012_HES_FM0300CPF_es.pdf
SITE_787fda_c_año_de_construcció,CPF-300-HOME-ASSESSMENT,300CPF,site_information,c. Año de construcción,c_año_de_construcción,text,Text Input,False,,es,c. Año de construcción: d. Pies cuadrados: e. N.º de pisos:,012_HES_FM0300CPF_es.pdf
SITE_3148b6_c_year_built,CPF-300-HOME-ASSESSMENT,300CPF,site_information,c. Year Built,c_year_built,date,Text Input,False,valid_date,en,c. Year Built : d. Sq. Ft. : e. # Stories :,011_HES_FM0300CPF.pdf
SITE_82c339_f_cimientossótano,CPF-300-HOME-ASSESSMENT,300CPF,site_information,f. Cimientos/sótano,f_cimientossótano,text,Text Input,False,,es,f. Cimientos/sótano: Combinación de garaje/sótano Sótano de poca altura,012_HES_FM0300CPF_es.pdf
SITE_bf13fe_f_foundationbasement,CPF-300-HOME-ASSESSMENT,300CPF,site_information,f. Foundation/Basement,f_foundationbasement,text,Text Input,False,,en,f. Foundation/Basement: Garage/basement combo Crawlspace Crawlspace w/ vapor barrier,011_HES_FM0300CPF.pdf
MISC_750cc0_organization_cbo_por,CPF-300-HOME-ASSESSMENT,300CPF,other,"organization, CBO, por siglas en inglés)",organization_cbo_por_siglas_en_inglés,text,Text Input,False,,es,"organization, CBO, por siglas en inglés): sugiera si otra organización ayudará con",012_HES_FM0300CPF_es.pdf
FIN_e7e7b2_households_gross_ann,CPF-300-HEAT-PUMP-QUESTIONNAIRE,300HPQ,financial_information,Household’s gross annual income,households_gross_annual_income,text,Text Input,False,,en,Household’s gross annual income: OR Household’s gross monthly income:,016_HES_FM0300HPQ.pdf
MISC_1d841b_name,CPF-300-HEAT-PUMP-QUESTIONNAIRE,300HPQ,other,Name,name,text,Text Input,False,,en,Name: Date:,016_HES_FM0300HPQ.pdf
MISC_f8a963_organization_name,CPF-300-HEAT-PUMP-QUESTIONNAIRE,300HPQ,other,Organization Name,organization_name,text,Text Input,False,,en,Organization Name: Offer (s) Recommended :,016_HES_FM0300HPQ.pdf
MISC_3ac971_other,CPF-300-HEAT-PUMP-QUESTIONNAIRE,300HPQ,other,Other,other,text,Text Input,False,,en,Other: $ / per month OR per year,016_HES_FM0300HPQ.pdf
MISC_80cd42_date,CPF-300-HEAT-PUMP-QUESTIONNAIRE,300HPQ,other,Staff Member Name Signature Date:,date,signature,Signature,False,signature_required,en,"To Be Completed by Organization Staff Member By signing this Agreement, I certify that the information presented is true and accurate to the best of my knowledge. Staff Member Name Signature",016_HES_FM0300HPQ.pdf
FIN_70236a_ingreso_bruto_anual_,CPF-300HPQ-,300HPQ-,financial_information,Ingreso bruto anual del hogar,ingreso_bruto_anual_del_hogar,text,Text Input,False,,es,Ingreso bruto anual del hogar: O Ingreso bruto mensual del hogar:,017_HES_FM0300HPQ-es.pdf
MISC_db065f_nombre,CPF-300HPQ-,300HPQ-,other,Nombre,nombre,text,Text Input,False,,es,Nombre: Fecha:,017_HES_FM0300HPQ-es.pdf
MISC_880841_nombre_de_la_organiz,CPF-300HPQ-,300HPQ-,other,Nombre de la Organización,nombre_de_la_organización,text,Text Input,False,,es,Nombre de la Organización: Oferta: No-Cost DHP -or - No-Cost HP,017_HES_FM0300HPQ-es.pdf
MISC_402a02_otro,CPF-300HPQ-,300HPQ-,other,Otro,otro,text,Text Input,False,,es,Otro: $ / por mes O por año,017_HES_FM0300HPQ-es.pdf
PROC_740696_review,CPF-320-HVAC-INCENTIVE,320C-HVAC,process_instructions,1. Review,review,text,Text Input,False,,en,"1. Review: Customer and Contractor review customer,","034_Heating and Cooling, Contractor Installed–Form 320C-HVAC (PDF).pdf"
CUST_c23573_customer_completes,CPF-320-HVAC-INCENTIVE,320C-HVAC,customer_information,2. Customer completes,customer_completes,text,Text Input,False,,en,2. Customer completes: Customer Information and,"034_Heating and Cooling, Contractor Installed–Form 320C-HVAC (PDF).pdf"
CNTR_656663_contractor_completes,CPF-320-HVAC-INCENTIVE,320C-HVAC,contractor_information,3. Contractor completes,contractor_completes,text,Text Input,False,,en,3. Contractor completes: Equipment Information and,"034_Heating and Cooling, Contractor Installed–Form 320C-HVAC (PDF).pdf"
PROC_fc02aa_sign,CPF-320-HVAC-INCENTIVE,320C-HVAC,process_instructions,4. Sign,sign,text,Text Input,False,,en,4. Sign: Customer and Contractor s ign form.,"034_Heating and Cooling, Contractor Installed–Form 320C-HVAC (PDF).pdf"
PROC_a4f3fc_submit,CPF-320-HVAC-INCENTIVE,320C-HVAC,process_instructions,5. Submit,submit,text,Text Input,False,,en,5. Submit: application and documentation to,"034_Heating and Cooling, Contractor Installed–Form 320C-HVAC (PDF).pdf"
MISC_8d9090_access_and_evaluatio,CPF-320-HVAC-INCENTIVE,320C-HVAC,other,ACCESS AND EVALUATION,access_and_evaluation,text,Text Input,False,,en,ACCESS AND EVALUATION: Energy Trust and/or its,"034_Heating and Cooling, Contractor Installed–Form 320C-HVAC (PDF).pdf"
