form_number,document,field_name,field_type,required,context
300CPF,012_HES_FM0300CPF_es.pdf,90%,Text Input,False,"90%: sugerir si la casa tiene una calefacción de gas existente y más antigua,"
300CPF,011_HES_FM0300CPF.pdf,ACCESS AND EVALUATION,Text Input,False,ACCESS AND EVALUATION: Energy Trust and/or its representatives
300CPF,011_HES_FM0300CPF.pdf,AUTHORIZATION,Text Input,False,"AUTHORIZATION: This authorization form must be filled out completely,"
300CPF,012_HES_FM0300CPF_es.pdf,AUTORIZACIÓN,Text Input,False,AUTORIZACIÓN: este formulario de autorización debe
300CPF,012_HES_FM0300CPF_es.pdf,Asbesto,Text Input,False,Asbesto: ¿La presencia de asbesto impide
300CPF,011_HES_FM0300CPF.pdf,Asbestos,Text Input,False,Asbestos: Does the presence of asbestos
300CPF,011_HES_FM0300CPF.pdf,Bill Discount Program,Text Input,False,"Bill Discount Program: If site is a candidate for a no -cost measure, is the household"
300CPF,012_HES_FM0300CPF_es.pdf,"CAA, por sus siglas en inglés)",Text Input,False,"CAA, por sus siglas en inglés): los residentes que califiquen con base en sus"
300CPF,012_HES_FM0300CPF_es.pdf,CANTIDAD DE FINANCIACIÓN,Text Input,False,CANTIDAD DE FINANCIACIÓN: la cantidad financiada no
300CPF,012_HES_FM0300CPF_es.pdf,CLIENTE,Text Input,False,CLIENTE: la persona que firma este formulario lo hace en
300CPF,011_HES_FM0300CPF.pdf,CUSTOMER,Text Input,False,CUSTOMER: The person signing this form is signing on behalf of the
300CPF,011_HES_FM0300CPF.pdf,CUSTOMER NOTIFICATION,Text Input,False,CUSTOMER NOTIFICATION: Participating Organization will inform
300CPF,012_HES_FM0300CPF_es.pdf,Combustible Sistema de calefacción Uso actual,Text Input,False,Combustible Sistema de calefacción Uso actual: Condición
300CPF,012_HES_FM0300CPF_es.pdf,Consideraciones para la mejora energética,Text Input,False,Consideraciones para la mejora energética: ¿El hogar es
300CPF,011_HES_FM0300CPF.pdf,Customer Name and Signature,Signature,False,"Signature Section A: Customer must sign below prior to the HEA being conducted, and sign on page 6 after completion of the HEA. Customer Name and Signature By signing below, Customer agrees to"
300CPF,011_HES_FM0300CPF.pdf,Customer Type,Text Input,False,Customer Type: Homeowner Renter Rental Property Owner/Manager
300CPF,011_HES_FM0300CPF.pdf,Customer signature Date,Signature,False,Assessor that performed the HEA explained the results or provided a copy of the results. Customer signature Date
300CPF,011_HES_FM0300CPF.pdf,Customer signature Full name (please print and use same name as on invoice) Date,Signature,False,Customer’s behalf. Customer signature Full name (please print and use same name as on invoice) Date Site Address Cit
300CPF,012_HES_FM0300CPF_es.pdf,DERECHOS DE PROPIEDAD,Text Input,False,DERECHOS DE PROPIEDAD: el cliente declara que tiene
300CPF,011_HES_FM0300CPF.pdf,DISCLAIMER / NO LIABILITY,Text Input,False,"DISCLAIMER / NO LIABILITY: Customer understands that, although"
300CPF,012_HES_FM0300CPF_es.pdf,ELEGIBILIDAD,Text Input,False,ELEGIBILIDAD: se dispone de financiación para casas
300CPF,011_HES_FM0300CPF.pdf,ELIGIBILITY,Text Input,False,"ELIGIBILITY: Funding is available to detached single- family homes,"
300CPF,011_HES_FM0300CPF.pdf,Energy Upgrade Considerations,Text Input,False,Energy Upgrade Considerations: Is the home
300CPF,011_HES_FM0300CPF.pdf,FUNDING AMOUNT,Text Input,False,FUNDING AMOUNT: Funding amount cannot exceed total cost of the
300CPF,011_HES_FM0300CPF.pdf,Fuel Heating System Current Use,Text Input,False,Fuel Heating System Current Use: Condition
300CPF,011_HES_FM0300CPF.pdf,HEA completing organization,Text Input,False,HEA completing organization: Site referred to:
300CPF,011_HES_FM0300CPF.pdf,Home Assessor Name,Text Input,False,Home Assessor Name : Date :
300CPF,011_HES_FM0300CPF.pdf,Home Assessor Name and Signature,Signature,False,"Signature Section C: If a third -party Home Assessor is requesting funding for this home energy assessment (HEA), please sign below . Home Assessor Name and Signature By signing below, Home Asses"
300CPF,011_HES_FM0300CPF.pdf,Home Assessor signature Full name (please print) Date,Signature,False,Energy Trust will issue payment to the entity listed below at the address listed below. Home Assessor signature Full name (please print) Date Company OCC
300CPF,011_HES_FM0300CPF.pdf,INFORMATION RELEASE,Text Input,False,INFORMATION RELEASE: Customer agrees that Energy Trust may
300CPF,011_HES_FM0300CPF.pdf,Lead,Text Input,False,Lead: Does presence of lead prevent any measure installation?
300CPF,011_HES_FM0300CPF.pdf,NO ENDORSEMENT,Text Input,False,NO ENDORSEMENT: Energy Trust does not endorse any particular
300CPF,012_HES_FM0300CPF_es.pdf,NOTIFICACIÓN AL CLIENTE,Text Input,False,NOTIFICACIÓN AL CLIENTE: la organización participante
300CPF,011_HES_FM0300CPF.pdf,"No, Contractor signature is not needed",Signature,False,"2. Will a Contractor be requesting funding for any home energy upgrades? Yes, Contractor to c omplete Signature Section B upon completion of upgrade(s) No, Contractor signature is not needed"
300CPF,012_HES_FM0300CPF_es.pdf,Nombre del evaluador de hogares,Text Input,False,Nombre del evaluador de hogares: Fecha:
300CPF,012_HES_FM0300CPF_es.pdf,Organización participante,Text Input,False,Organización participante: Financiación de socios comunitarios
300CPF,012_HES_FM0300CPF_es.pdf,PAGO,Text Input,False,"PAGO: sujeto a la disponibilidad de fondos, la financiación"
300CPF,011_HES_FM0300CPF.pdf,PAYMENT,Text Input,False,"PAYMENT : Subject to funding availability, funding for eligible HEAs will"
300CPF,011_HES_FM0300CPF.pdf,PROPERTY RIGHTS,Text Input,False,PROPERTY RIGHTS: Customer represents that Customer has the right
300CPF,011_HES_FM0300CPF.pdf,Participating Organization,Text Input,False,Participating Organization: Community Partner Funding
300CPF,011_HES_FM0300CPF.pdf,Participating Organization Name and Signature,Signature,False,"Signature Section B: Participating Organization must sign this form after completion of the HEA . Participating Organization Name and Signature By signing below, Participating Organization (i) un"
300CPF,011_HES_FM0300CPF.pdf,Participating Organization or Contractor after,Text Input,False,Participating Organization or Contractor after: (i) completion and or
300CPF,011_HES_FM0300CPF.pdf,Participating Organization signature Full name (please print) Date,Signature,False,processing or paying any funding. Participating Organization signature Full name (please print) Date Participating Organization Home Energy Assessment Da
300CPF,012_HES_FM0300CPF_es.pdf,Plomo,Text Input,False,Plomo: ¿La presencia de plomo impide la instalación de alguna
300CPF,012_HES_FM0300CPF_es.pdf,Programa de Descuento en Facturas,Text Input,False,Programa de Descuento en Facturas: Si el sitio es candidato para una medida
300CPF,012_HES_FM0300CPF_es.pdf,Sección A de la firma,Text Input,False,Sección A de la firma: el cliente debe firmar a continuación antes de que se realice la HEA y
300CPF,012_HES_FM0300CPF_es.pdf,Sección B de la firma,Text Input,False,Sección B de la firma: la organización participante debe firmar este formulario después de
300CPF,012_HES_FM0300CPF_es.pdf,Sección C de la firma,Text Input,False,Sección C de la firma: si un evaluador de hogares externo está solicitando una financiación
300CPF,012_HES_FM0300CPF_es.pdf,Sección D de la firma,Text Input,False,Sección D de la firma: el cliente debe firmar a continuación después de completar la HEA.
300CPF,011_HES_FM0300CPF.pdf,Signature Section B,Text Input,False,Signature Section B: Participating Organization must sign this form after completion of the HEA .
300CPF,011_HES_FM0300CPF.pdf,Signature Section B: Participating Organization must sign this form after completion of the HEA .,Signature,False,"Signature Section B: Participating Organization must sign this form after completion of the HEA . Participating Organization Name and Signature By signing below, Participating Organization (i)"
300CPF,011_HES_FM0300CPF.pdf,Signature Section C,Text Input,False,Signature Section C: If a third -party Home Assessor is requesting funding for this home energy
300CPF,011_HES_FM0300CPF.pdf,Signature Section C: If a third -party Home Assessor is requesting funding for this home energy,Signature,False,"Participating Organization Home Energy Assessment Date Signature Section C: If a third -party Home Assessor is requesting funding for this home energy assessment (HEA), please sign below . Home"
300CPF,011_HES_FM0300CPF.pdf,Signature Section D,Text Input,False,Signature Section D: Customer must sign below after completion of the HEA.
300CPF,011_HES_FM0300CPF.pdf,Signature Section D: Customer must sign below after completion of the HEA.,Signature,False,"Signature Section D: Customer must sign below after completion of the HEA. Customer Name and Signature By signing below, Customer acknowledges that the HEA was completed at the sit"
300CPF,012_HES_FM0300CPF_es.pdf,Sí No Plagas,Text Input,False,Sí No Plagas: ¿Los plagas o los daños causados por plagas impiden la
300CPF,011_HES_FM0300CPF.pdf,TAX LIABILITY,Text Input,False,TAX LIABILITY: Energy Trust is not responsible for any tax liability
300CPF,012_HES_FM0300CPF_es.pdf,VERIFICACIÓN DE CALIDAD DEL TRABAJO,Text Input,False,VERIFICACIÓN DE CALIDAD DEL TRABAJO: antes de
300CPF,011_HES_FM0300CPF.pdf,Yes No Pests,Text Input,False,Yes No Pests: Do pests or pest damage prevent any measure installation?
300CPF,011_HES_FM0300CPF.pdf,"Yes, Contractor to c omplete Signature Section B upon completion of upgrade(s)",Signature,False,"Insulation/Windows Water Heating 2. Will a Contractor be requesting funding for any home energy upgrades? Yes, Contractor to c omplete Signature Section B upon completion of upgrade(s) No"
300CPF,011_HES_FM0300CPF.pdf,a. Central AC,Text Input,False,a. Central AC: Yes No Amount of Room AC Units (Window and/or Portable):
300CPF,011_HES_FM0300CPF.pdf,a. Electric Provider,Text Input,False,a. Electric Provider: Pacific Power PGE Other :
300CPF,011_HES_FM0300CPF.pdf,a. Fuel Type,Text Input,False,"a. Fuel Type: Electric Gas Location of water heater (garage, utility room, basement, etc):"
300CPF,012_HES_FM0300CPF_es.pdf,a. Proveedor de electricidad,Text Input,False,a. Proveedor de electricidad: Pacific Power PGE ________________________________ Otro:
300CPF,011_HES_FM0300CPF.pdf,b. Gas Provider,Text Input,False,b. Gas Provider: NW Natural Avista Cascade Natural Gas Other :
300CPF,012_HES_FM0300CPF_es.pdf,b. Proveedor de gas,Text Input,False,b. Proveedor de gas: NW Natural Avista Cascade Natural Gas Otro:
300CPF,012_HES_FM0300CPF_es.pdf,c. Año de construcción,Text Input,False,c. Año de construcción: d. Pies cuadrados: e. N.º de pisos:
300CPF,011_HES_FM0300CPF.pdf,c. Year Built,Text Input,False,c. Year Built : d. Sq. Ft. : e. # Stories :
300CPF,012_HES_FM0300CPF_es.pdf,f. Cimientos/sótano,Text Input,False,f. Cimientos/sótano: Combinación de garaje/sótano Sótano de poca altura
300CPF,011_HES_FM0300CPF.pdf,f. Foundation/Basement,Text Input,False,f. Foundation/Basement: Garage/basement combo Crawlspace Crawlspace w/ vapor barrier
300CPF,012_HES_FM0300CPF_es.pdf,"organization, CBO, por siglas en inglés)",Text Input,False,"organization, CBO, por siglas en inglés): sugiera si otra organización ayudará con"
300HPQ,016_HES_FM0300HPQ.pdf,Household’s gross annual income,Text Input,False,Household’s gross annual income: OR Household’s gross monthly income:
300HPQ,016_HES_FM0300HPQ.pdf,Name,Text Input,False,Name: Date:
300HPQ,016_HES_FM0300HPQ.pdf,Organization Name,Text Input,False,Organization Name: Offer (s) Recommended :
300HPQ,016_HES_FM0300HPQ.pdf,Other,Text Input,False,Other: $ / per month OR per year
300HPQ,016_HES_FM0300HPQ.pdf,Staff Member Name Signature Date:,Signature,False,"To Be Completed by Organization Staff Member By signing this Agreement, I certify that the information presented is true and accurate to the best of my knowledge. Staff Member Name Signature"
300HPQ-,017_HES_FM0300HPQ-es.pdf,Ingreso bruto anual del hogar,Text Input,False,Ingreso bruto anual del hogar: O Ingreso bruto mensual del hogar:
300HPQ-,017_HES_FM0300HPQ-es.pdf,Nombre,Text Input,False,Nombre: Fecha:
300HPQ-,017_HES_FM0300HPQ-es.pdf,Nombre de la Organización,Text Input,False,Nombre de la Organización: Oferta: No-Cost DHP -or - No-Cost HP
300HPQ-,017_HES_FM0300HPQ-es.pdf,Otro,Text Input,False,Otro: $ / por mes O por año
320CPF,014_HES_FM0320CPF_ES.pdf,ACCESO Y EVALUACIÓN,Text Input,False,ACCESO Y EVALUACIÓN: Energy Trust y/o sus representantes
320CPF,013_HES_FM0320CPF.pdf,ACCESS AND EVALUATION,Text Input,False,ACCESS AND EVALUATION: Energy Trust and/or its
320CPF,013_HES_FM0320CPF.pdf,AHRI Certificate Number,Text Input,False,AHRI Certificate Number: Installed Cost $:
320CPF,013_HES_FM0320CPF.pdf,APPLICATION,Text Input,False,APPLICATION: This application and any required additional
320CPF,014_HES_FM0320CPF_ES.pdf,AUTORIZACIÓN,Text Input,False,"AUTORIZACIÓN: Esta autorización se debe llenar por completo,"
320CPF,013_HES_FM0320CPF.pdf,CUSTOMER,Text Input,False,CUSTOMER: The person signing this form is signing on behalf of
320CPF,013_HES_FM0320CPF.pdf,CUSTOMER NOTIFICATION,Text Input,False,CUSTOMER NOTIFICATION: Participating Organization will
320CPF,013_HES_FM0320CPF.pdf,Contractor Name and Signature,Signature,False,"Participating Organization company name Install date Contractor Name and Signature By signing below, Contractor certifies that this application and all accompanying documentation is complet"
320CPF,013_HES_FM0320CPF.pdf,Contractor after,Text Input,False,Contractor after: (i) completion and or installation of the energy
320CPF,013_HES_FM0320CPF.pdf,Contractor signature Full name (please print) Date,Signature,False,must comply with the Residential Specifications Manual and all other Energy Trust program requirements. Contractor signature Full name (please print) Date
320CPF,013_HES_FM0320CPF.pdf,Contractor signatures,Signature,False,• Customer signature • Participating Organization or Contractor signatures • Invoices billing the customer for purchase and installation marked
320CPF,013_HES_FM0320CPF.pdf,Customer Name and Signature,Signature,False,upgrades that meet Energy Trust requirements to the Participating Organization or Contractor named below. Energy Trust may deny funding for any energy upgrades that do not meet Energy Trust requir
320CPF,013_HES_FM0320CPF.pdf,Customer signature Full name (please print and use same name as on invoice) Date,Signature,False,for all Energy Trust funding that is available for the energy -saving upgrades indicated on this application . Customer signature Full name (please print and use same name as on in
320CPF,013_HES_FM0320CPF.pdf,DISCLAIMER / NO LIABILITY,Text Input,False,"DISCLAIMER / NO LIABILITY: Customer understands that,"
320CPF,013_HES_FM0320CPF.pdf,ECM? Yes No AFUE,Text Input,False,ECM? Yes No AFUE: % Installed Cost: $
320CPF,014_HES_FM0320CPF_ES.pdf,ELEGIBILIDAD,Text Input,False,ELEGIBILIDAD: Los fondos están disponibles para los clientes
320CPF,013_HES_FM0320CPF.pdf,ELIGIBILITY,Text Input,False,ELIGIBILITY: Funding is available to detached single-family
320CPF,013_HES_FM0320CPF.pdf,ENERGY INFORMATION RELEASE,Text Input,False,ENERGY INFORMATION RELEASE : Customer authorizes
320CPF,014_HES_FM0320CPF_ES.pdf,EXENCIÓN DE RESPONSABILIDAD,Text Input,False,EXENCIÓN DE RESPONSABILIDAD: El cliente entiende que
320CPF,013_HES_FM0320CPF.pdf,Electric utility,Text Input,False,Electric utility: PGE Pacific Power Other
320CPF,013_HES_FM0320CPF.pdf,FUNDING AMOUNT,Text Input,False,FUNDING AMOUNT: Funding amount cannot exceed total cost
320CPF,013_HES_FM0320CPF.pdf,Gas utility,Text Input,False,Gas utility: NW Natural Cascade Natural Gas Avista Other
320CPF,013_HES_FM0320CPF.pdf,HSPF2,Text Input,False,HSPF2: EER2: SEER2:
320CPF,013_HES_FM0320CPF.pdf,INFORMATION RELEASE,Text Input,False,INFORMATION RELEASE: Customer agrees that Energy Trust
320CPF,013_HES_FM0320CPF.pdf,Instructions for Signatures,Signature,False,PCEF: ODOE: OHCS: Other: No additional funding Instructions for Signatures Customer Customer is required to sign this form. Participating
320CPF,013_HES_FM0320CPF.pdf,Lockout temperature,Text Input,False,Lockout temperature: º F Installed Cost $
320CPF,014_HES_FM0320CPF_ES.pdf,MONTO DE LOS FONDOS,Text Input,False,MONTO DE LOS FONDOS: El monto de los fondos no puede ser
320CPF,013_HES_FM0320CPF.pdf,Manufacturer,Text Input,False,Manufacturer: Model Number: Serial #:
320CPF,013_HES_FM0320CPF.pdf,Model Name,Text Input,False,Model Name: Model #:
320CPF,014_HES_FM0320CPF_ES.pdf,NOTIFICACIÓN A CLIENTES,Text Input,False,NOTIFICACIÓN A CLIENTES : La organización participante
320CPF,014_HES_FM0320CPF_ES.pdf,Organización participante,Text Input,False,Organización participante: Financiación de socios comunitarios
320CPF,014_HES_FM0320CPF_ES.pdf,Organización participante después de,Text Input,False,Organización participante después de: (i) completar y/o instalar
320CPF,013_HES_FM0320CPF.pdf,PAYMENT,Text Input,False,"PAYMENT : Subject to funding availability, funding for eligible"
320CPF,013_HES_FM0320CPF.pdf,PCEF,Text Input,False,PCEF: ODOE: OHCS: Other: No additional funding
320CPF,013_HES_FM0320CPF.pdf,Participating Organization,Text Input,False,Participating Organization: Community Partner Funding
320CPF,013_HES_FM0320CPF.pdf,Participating Organization Name and Signature,Signature,False,"Customer signature Full name (please print and use same name as on invoice) Date Participating Organization Name and Signature By signing below, Participating Organization certifies that this"
320CPF,013_HES_FM0320CPF.pdf,Participating Organization signature Full name (please print) Date,Signature,False,"incentives, all work must comply with the Residential Specifications Manual and all other Energy Trust program requirements. Participating Organization signature Full name (pleas"
320CPF,013_HES_FM0320CPF.pdf,Project Completed by,Text Input,False,Project Completed by : Referral Received from :
320CPF,013_HES_FM0320CPF.pdf,Qty of indoor units,Text Input,False,Qty of indoor units: Primary Living Space Room Type:
320CPF,013_HES_FM0320CPF.pdf,Qty of outdoor units,Text Input,False,Qty of outdoor units: Total capacity (BTUs): HSPF2:
320CPF,014_HES_FM0320CPF_ES.pdf,RESPONSABILIDAD FISCAL,Text Input,False,RESPONSABILIDAD FISCAL: Energy Trust no es responsable
320CPF,013_HES_FM0320CPF.pdf,Referral Section,Text Input,False,Referral Section: Indicate project -completing organization and referring organization .
320CPF,013_HES_FM0320CPF.pdf,Serial number,Text Input,False,Serial number: UEF: Installed cost:
320CPF,013_HES_FM0320CPF.pdf,TAX LIABILITY,Text Input,False,TAX LIABILITY: Energy Trust is not responsible for any tax
320CPF,013_HES_FM0320CPF.pdf,Value,Text Input,False,Value: Attach copies of the NFRC stickers for all windows installed OR
320CPF,013_HES_FM0320CPF.pdf,WORK QUALITY VERIFICATION,Text Input,False,"WORK QUALITY VERIFICATION: Prior to any funding payment,"
320CPF,013_HES_FM0320CPF.pdf,amount,Text Input,False,amount : $
320CPF,001_Program Information sheet_ PI0320CPF.pdf,available to residences serviced by PGE or Pacific Power. Indoor Configuration,Text Input,False,available to residences serviced by PGE or Pacific Power. Indoor Configuration: Eligible systems
320CPF,014_HES_FM0320CPF_ES.pdf,exclusivo de Energy Trust . CLIENTE,Text Input,False,exclusivo de Energy Trust . CLIENTE: La persona que firma este formulario es el cliente. Con
320CPF,014_HES_FM0320CPF_ES.pdf,multifamiliares (solo en WA) que son,Text Input,False,multifamiliares (solo en WA) que son: (i) habitantes de Oregón y
320CPF,013_HES_FM0320CPF.pdf,proof of size,Text Input,False,proof of size: Attach an itemized invoice showing window dimensions and U -
320CPF,014_HES_FM0320CPF_ES.pdf,signatures,Signature,False,•Customer signature •Participating Organization or Contractor signatures •Invoices billing the customer for purchas e and i
320CPF,013_HES_FM0320CPF.pdf,• Customer signature,Signature,False,"2 Complete application information, including: • Customer signature • Participating Organization or Contractor signatures"
320CPF,014_HES_FM0320CPF_ES.pdf,•Customer signature,Signature,False,"ifying residence. 2 Complete application information, including: •Customer signature •Participating Organization or Contractor signatures"
320I,001_Residential Program Incentive guide – PI 320I (PDF).pdf,Power. Indoor Configuration,Text Input,False,Power. Indoor Configuration: Eligible systems configurations must include a central ducted system
320I-HP,003_PI 320I-HP (PDF).pdf,setting recommended by unit manufacturer when available. Indoor Configuration,Text Input,False,setting recommended by unit manufacturer when available. Indoor Configuration: Eligible
371CPF,005_HES_FM0371CPF.pdf,Authorized Signature,Signature,False,"suspension or termination. In particular but without limitation, Energy Trust will immediately terminate this Agreement if Participating Organization is found to have falsified paperwork. Participa"
371CPF,005_HES_FM0371CPF.pdf,Avista,Checkbox,False,☐ Avista
371CPF,005_HES_FM0371CPF.pdf,Cascade Natural Gas,Checkbox,False,☐ Cascade Natural Gas
371CPF,005_HES_FM0371CPF.pdf,DEQ,Checkbox,False,Department of Environmental Quality (State or Federal) Grants ☐ DEQ
371CPF,005_HES_FM0371CPF.pdf,NW Natural,Checkbox,False,Oregon Low Income Energy Efficiency (OLIEE) ☐ NW Natural
371CPF,005_HES_FM0371CPF.pdf,Name Signature Date,Signature,False,Optional: Participating Organization meets alternative insurance requirements as determin ed by Energy Trust Legal Energy Trust Approval Name Signature Date
371CPF,005_HES_FM0371CPF.pdf,Other Utility,Checkbox,False,☐ Other Utility
371CPF,005_HES_FM0371CPF.pdf,PGE,Checkbox,False,Energy Conservation Helping Oregonians (ECHO) ☐ PGE ☐ Pacific Power
371CPF,005_HES_FM0371CPF.pdf,Participating Organization,Text Input,False,Participating Organization : Community Partner Funding
371CPF,005_HES_FM0371CPF.pdf,Signature Date,Signature,False,Authorized representative Signature Date (printed name) Representative’s title Organization name
371CPF,005_HES_FM0371CPF.pdf,US EPA,Checkbox,False,Environmental Protection Agency Grants ☐ US EPA
371CPF,005_HES_FM0371CPF.pdf,US HUD,Checkbox,False,Home Investment Partnerships Program Funding (HOME) ☐ US HUD
371CPF,005_HES_FM0371CPF.pdf,USDA,Checkbox,False,Housing Preservation Grants ☐ USDA
371CPF,005_HES_FM0371CPF.pdf,USDOE,Checkbox,False,Weatherization Assistance Program (WAP) ☐ USDOE
371CPF,005_HES_FM0371CPF.pdf,USHHS,Checkbox,False,Low Income Home Energy Assistance Program (LIHEAP) ☐ USHHS
371CPF,005_HES_FM0371CPF.pdf,USHUD,Checkbox,False,Community Development Block Grants ☐ USHUD
371CPF-A,006_BEM_FM0371CPF-A.pdf,Authorized Signature,Signature,False,"5. All other terms and conditions of the Form 3 71CPF Agreement remain in full force and effect. Authorized Signature By signing below, I represent to Energy Trust that (i) I am duly authorize"
371CPF-A,006_BEM_FM0371CPF-A.pdf,Name Signature Date,Signature,False,Organization email Organization phone Energy Trust Approval Name Signature Date
371CPF-A,006_BEM_FM0371CPF-A.pdf,Signature Date,Signature,False,Authorized representative Signature Date (printed name) Representative’s title Organization name
523-C,020_CPF-Incentive-Grid-Spanish-_INFOGR_0523-Customizable.pdf,Bomba de calor sin ductos,Text Input,False,Bomba de calor sin ductos: para propietarios que califican con base en sus ingresos
Unknown,006_Manual de Especificaciones 2025 (PDF).pdf,(ejemplo,Text Input,False,"(ejemplo: placa de yeso),"
Unknown,005_2025 Specifications manual (PDF).pdf,(example,Text Input,False,(example: gypsum board)
Unknown,004_CPF-Overview-Document_For-Contractors.pdf,- 300 CPF,Text Input,False,- 300 CPF: Customer Authorization Form :
Unknown,004_CPF-Overview-Document_For-Contractors.pdf,1) 300 CPF,Text Input,False,1) 300 CPF: C ustomer Authorization form
Unknown,004_CPF-Overview-Document_For-Contractors.pdf,1. Customer Identification,Text Input,False,1. Customer Identification: The CP will identify the participant and coordinate the install
Unknown,009_No-Cost-Heat-Pump-Reference-Guide.pdf,1. No-Cost Eligibility,Text Input,False,1. No-Cost Eligibility : Customers should be asked to complete the Heat Pump Questionnaire
Unknown,008_CPF_Onboarding_Checklist.pdf,1.5 hours ☐ Step 2,Text Input,False,1.5 hours ☐ Step 2: Formal Outreach Meeting
Unknown,008_CPF_Onboarding_Checklist.pdf,1.5 hours ☐ Step 3,Text Input,False,1.5 hours ☐ Step 3: Home Energy Assessment (HEA)
Unknown,007_2025 Quality Management Policy (PDF).pdf,14APPENDIX A,Text Input,False,14APPENDIX A: CORRECTIVE ACTIONS DEFINED
Unknown,005_2025 Specifications manual (PDF).pdf,14PART 1,Text Input,False,14PART 1: WEATHERIZATION
Unknown,006_Manual de Especificaciones 2025 (PDF).pdf,14PARTE 1,Text Input,False,14PARTE 1: MEJORAS DE EFICIENCIA
Unknown,007_CPF-Onboarding-PPT.pdf,15•Customer and CP signatures are required,Signature,True,300 CPF: Page 2 Instructions 15•Customer and CP signatures are required for the initial home energy assessment. •A contractor only needs to sign if they are receiving Energy Trust incentives direct
Unknown,005_2025 Specifications manual (PDF).pdf,16AT 1.2—Passive Attic Ventilation,Text Input,False,16AT 1.2—Passive Attic Ventilation: Sizing and Distribution
Unknown,006_Manual de Especificaciones 2025 (PDF).pdf,16AT 1.2—Ventilación Pasiva del Ático,Text Input,False,16AT 1.2—Ventilación Pasiva del Ático: Tamaño y Distribución
Unknown,008_CPF_Onboarding_Checklist.pdf,2. Blue Rows,Text Input,False,2. Blue Rows: These are actions to be completed by the organization.
Unknown,004_CPF-Overview-Document_For-Contractors.pdf,2. Project Bid,Text Input,False,2. Project Bid : The CP will coordi nate a site -visit from a referred contractor to provide a
Unknown,006_Manual de Especificaciones 2025 (PDF).pdf,23AT—AISLAMIENTO DE ÁTICO,Text Input,False,23AT—AISLAMIENTO DE ÁTICO: INSTALACIÓN
